strain	galbut	day	replicate	number_alive	number_valid_flies
25197	TRUE	20	3	10	10
25197	TRUE	20	4	10	10
25197	TRUE	20	5	10	10
25197	TRUE	21	1	10	10
25197	TRUE	21	2	10	10
25197	TRUE	21	3	10	10
25197	TRUE	21	4	10	10
25197	TRUE	21	5	10	10
25197	TRUE	22	1	10	10
25197	TRUE	22	2	10	10
25197	TRUE	22	3	10	10
25197	TRUE	22	4	10	10
25197	TRUE	22	5	10	10
25197	TRUE	23	1	10	10
25197	TRUE	23	2	10	10
25197	TRUE	23	3	10	10
25197	TRUE	23	4	10	10
25197	TRUE	23	5	10	10
25197	TRUE	24	1	10	10
25197	TRUE	24	2	10	10
25197	TRUE	24	3	10	10
25197	TRUE	24	4	10	10
25197	TRUE	24	5	10	10
25197	TRUE	25	1	10	10
25197	TRUE	25	2	10	10
25197	TRUE	25	3	10	10
25197	TRUE	25	4	10	10
25197	TRUE	25	5	10	10
25197	TRUE	26	1	10	10
25197	TRUE	26	2	10	10
25197	TRUE	26	3	10	10
25197	TRUE	26	4	10	10
25197	TRUE	26	5	10	10
25197	TRUE	27	1	10	10
25197	TRUE	27	2	10	10
25197	TRUE	27	3	10	10
